word	reading	meaning	example_jp	example_vi	jlpt	word_type
男性	だんせい	Nam giới			3	noun
女性	じょせい	Nữ giới			3	noun
理想	りそう	Lý tưởng			3	noun
高齢	こうれい	Cao tuổi			3	noun
年上	としうえ	Hơn tuổi			3	noun
目上	めうえ	Người trên			3	noun
敬語	けいご	Kính ngữ			3	noun
先輩	せんぱい	Tiền bối			3	noun
後輩	こうはい	hậu bối			3	noun
職場	しょくば	Nơi làm việc			3	noun
上	じょう司し	Cấp trên			3	noun
決定	けってい	Quyết định			3	noun
相手	あいて	đối phương			3	noun
友人	ゆうじん	Bạn thân			3	noun
時代	じだい	Thời đại			3	noun
仲	なか	Quan hệ			3	noun
生年月日	せいねんがっぴ	Ngày tháng năm sinh			3	noun
誕生	たんじょう	Ra đời			3	noun
出身	しゅっしん	Xuất thân, quê			3	noun
命	いのち	sự sống, sinh mệnh	命のある間は望みがある		3	noun
計画	けいかく	Kế hoạch			3	noun
故郷・故郷	こきょう・こきょう	Quê hương			3	noun
事業	じぎょう	Hoạt động kinh doanh	事業に手を出す		3	noun
喜ぶ	よろこぶ	Vui mừng (vì)	合格を喜ぶ		3	godan_verb
記入	きにゅう	Nhập vào			3	noun
立てる	たてる	Lập, dựng đứng, đặt			3	ichidan_verb
頼む	たのむ	Nhờ vả, năn nỉ; Yêu cầu, đặt hàng			3	godan_verb
成長	せいちょう	Trưởng thành			3	noun
成人	せいじん	người lớn			3	noun
進学	しんがく	Học lên tiếp (cấp cao hơn)			3	noun
退学	たいがく	Thôi học			3	noun
就職	しゅうしょく	có việc làm	地元の企業に就職する 就職試験	職業につくこと。 新しく職を得て勤めること。	3	noun
介護	かいご	Chăm sóc	寝たきり老人の介護		3	noun
決める	きめる	quyết định			3	ichidan_verb
退職	たいしょく	nghỉ hưu			3	noun
倒産	とうさん	sập, phá sản			3	noun
失業	しつぎょう	Thất nghiệp			3	noun
残業	ざんぎょう	Làm thêm giờ			3	noun
疲れる	つかれる	Mệt mỏi			3	ichidan_verb
通勤	つうきん	Đi làm			3	noun
学歴	がくれき	Bằng cấp			3	noun
実力	じつりょく	Thực lực			3	noun
給料	きゅうりょう	Lương			3	noun
面接	めんせつ	Phỏng vấn			3	noun
休憩	きゅうけい	Nghỉ giải lao	ゆっくり休憩をとる	仕事や運動などを一時やめて、休むこと。 休息。	3	noun
Tham quan	Tham quan	[観光[かんこう]]			3	noun
帰国	きこく	Về nước			3	noun
帰省	きせい	Về quê			3	noun
帰宅	きたく	Về nhà			3	noun
Tham gia	Tham gia	[参加[さんか]]			3	noun
活動	かつどう	Hoạt động			3	noun
欠席	けっせき	Không tham gia, vắng			3	noun
寝坊	ねぼう	Ngủ quên			3	noun
遅刻	ちこく	Đến muộn			3	noun
苦手	にがて	Không thích, không hợp; Không giỏi; Sợ			3	na_adjective
計算	けいさん	Tính toán			3	noun
成功	せいこう	Thành công			3	noun
実験	じっけん	Thực nghiệm			3	noun
整理	せいり	Sắp xếp, điều chỉnh	交通整理 感情の整理がつく		3	noun
書類	しょるい	Giấy tờ			3	noun
品	しな	hàng hóa			3	noun
届く	とどく	chạm tới, với tới	四十に手が届く 遠くまで届く声	ある所にまで至りつく。 達する。 及ぶ。	3	godan_verb
注文	ちゅうもん	Đặt hàng			3	noun
増える	ふえる	Tăng, cộng lên			3	ichidan_verb
徹夜	てつや	Thức xuyên đêm			3	noun
身長	しんちょう	chiều cao			3	noun
体重	たいじょう	cân nặng			3	noun
怪我	けが	Bị thương			3	noun
趣味	しゅみ	Sở thích			3	noun
読書	どくしょ	Đọc sách			3	noun
興味	きょうみ	Hứng thú			3	noun
歴し	へし	Lịch sử			3	noun
思い出	おもいで	Hồi ức			3	noun
冗談	じょうだん	nói đùa			3	noun
本気	ほんき	Nghiêm túc			3	na_adjective
目的	もくてき	Mục đích			3	noun
おしゃべり	おしゃべり	Nói nhiều			3	noun
遠慮	えんりょ	Ngại ngần, hạn chế			3	noun
我慢	がまん	Chịu đựng, nhẫn nhịn			3	noun
捨てる	すてる	Vứt, từ bỏ			3	ichidan_verb
希望	きぼう	Hi vọng			3	noun
夢	ゆめ	Giấc mơ, ước mơ			3	noun
怖い	こわい	Đáng sợ			3	i_adjective
挙げる	あげる	Bắt giữ tội phạm	犯人を挙げる		3	ichidan_verb
想像	そうぞう	Tưởng tượng			3	noun
現実	げんじつ	Hiện thực, sự thật			3	noun
努力	どりょく	Nỗ lực			3	noun
太陽	たいよう	Mặt trời			3	noun
昇る	のぼる	Lên cao, thăng lên, mọc			3	godan_verb
地球	ちきゅう	Trái đất			3	noun
環境	かんきょう	Môi trường			3	noun
温度	おんど	Nhiệt độ	今日の温度があがって、暑いだ。		3	noun
湿度	しつど	Độ ẩm			3	noun
湿気	しっけ	Hơi ẩm			3	noun
梅雨	つゆ	Mùa mưa			3	noun
カビ	カビ	Nấm mốc			3	noun
時期	じき	Lúc, thời điểm			3	noun
暖房	だんぼう	Thiết bị làm ấm			3	noun
皮	かわ	Vỏ, da			3	noun
画面	がめん	màn hình ảo			3	noun
番組	ばんぐみ	Chương trình truyền hình			3	noun
記事	きじ	Kí sự, phóng sự			3	noun
近所	きんじょ	Hàng xóm, xung quanh			3	noun
盗む	ぬすむ	Ăn trộm	Văn viết		3	godan_verb
警官	けいかん	Cảnh sát (người)			3	noun
犯人	はんにん	Tội phạm			3	noun
小銭	こぜに	Tiền lẻ			3	noun
祝う	いわう	Chúc mừng			3	godan_verb
ご馳走	ごちそう	Chiêu đãi, khao			3	noun
作者	さくしゃ	Tác giả nghệ thuật			3	noun
作品	さくひん	Tác phẩm			3	noun
展示	てんじ	Trưng bày, triển lãm			3	noun
制服	せいふく	Đồng phục	制服を着て学校に行く		3	noun
食器	しょっき	Bát đĩa			3	noun
洗剤	せんざい	Chất tẩy rửa			3	noun
底	そこ	Đáy			3	noun
進む	すすむ	Tiến lên	一歩進んで礼をする 出口に向かって進む		3	godan_verb
開発	かいはつ	Khai thác			3	noun
都市	とし	Thành phố			3	noun
道路	どうろ	Con đường			3	noun
坂	さか	Con dốc			3	noun
煙	けむり	Khói			3	noun
逃げる	にげる	trốn	犯人は盗難車で逃げたらしい 一目散に逃げる	捕まらないように、追って来るものの力の及ばない所に身を置く。	3	ichidan_verb
火事	かじ	Hỏa hoạn			3	noun
灰	はい	Tro tàn			3	noun
判	はん	Con dấu; Khổ giấy (viết tắt)			3	noun
名刺	めいし	Danh thiếp			3	noun
交換	こうかん	Trao đổi			3	noun
免許	めんきょ	Giấy phép			3	noun
必要	ひつよう	cần thiết			3	na_adjective
調理師	ちょうりし	Đầu bếp			3	noun
多く	おおく	nhiều			3	noun
前半	ぜんはん	Nửa đầu			3	noun
後半	こうはん	Nửa sau			3	noun
退屈	たいくつ	Buồn tẻ, chán ngắt (vì không có gì làm)			3	na_adjective
最高	さいこう	Cao nhất, tuyệt nhất			3	na_adjective
最低	さいてい	Thấp nhất, tối thiểu; Tồi, bỉ ổi;			3	noun
花束	はなたば	Bó hoa			3	noun
自動	じどう	Tự động			3	noun
種類	しゅるい	Chủng loại			3	noun
性格	せいかく	Tính cách			3	noun
性質	せいしつ	Tính chất			3	noun
布	ぬの	Vải			3	noun
順番	じゅんばん	Thứ tự, lượt	順番を待つ	順序に従って代わる代わるそのことに当たること。 また、その順序。	3	noun
発表	はっぴょう	Phát biểu, thuyết trình			3	noun
賞品	しょうひん	Phần thưởng			3	noun
番	ばん	Lượt			3	noun
方法	ほうほう	Phương pháp			3	noun
製品	せいひん	Sản phẩm	プラスチック製品		3	noun
値上がり	ねあがり	Tăng giá			3	noun
